الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Ajmal Wisal Dhahab,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6293708007295-ajmal-wisal-dhahab-50-ml-spray-1.png,127.0,Ajmal,Unisex,Perfume,Extravagant,Aromatic,50 ml,2001,Eau de Parfum,"Apple, Peach, Pear, Grapefruit, Mandarin Orange","Rose, Jasmine, Orchid, Geranium","Sandalwood, Cedar, Patchouli, and Musk.",,"Apple, Peach, Pear, Grapefruit, Mandarin Orange,Rose, Jasmine, Orchid, Geranium, Sandalwood, Cedar, Patchouli, and Musk.",,,,
Evian Parfumes Firewood EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285831002841_-_evian_parfumes_-_firewood_-_100_ml.png,239.0,Evian Parfumes,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,"Kashmiran, Vanilla","Peruvian Balsam, Guaiac Wood, Chestnut","Pink Pepper, Cloves",,,,,,
Moudon Obsidian Extrait De Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/0/3070110520238-moudon-moudon-obsidian-unisex-extrait-de-parfum-100ml.png,399.0,Moudon,Unisex,Perfume,Charismatic,Oriental,100 ml,2022,Extrait de Parfum,"Mandarin Orange, Saffron, Nutmeg","Helichrysum, Cumin, Violet, Osmanthus, Clove Leaves","Oud, Patchouli, Moss, Musk, Amber",,,,,,
Baldessarini Nautic Spirit,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/4/0/4011700920013_baldessarini_nautic_spirit_90_ml_eau_de_toilette_men.jpg,341.0,Baldessarini,Men,Perfume,Glamorous,Oriental,50 ml,2014,Eau de Toilette,"Passion Fruit, Mango, Sea Water","Ginger, cardamom, curry","Sandalwood, musk, patchouli",,"Passion Fruit, Mango, Sea Water, Ginger, Cardamom, Curry, Sandalwood, Musk, Patchouli",,,,
Bvlgari Allegra Magnifying Vanilla Essence EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/7/8/783320412837-bvlgari-bvlgari-allegra-magnifying-vanilla-essence-_w_-edp-40-ml.png,817.0,Bvlgari,Women,Perfume,Dynamic,Soft Floral,40 ml,2021,Eau de Parfum,,,,,Madagascar vanilla,,,,
Hermes Un Jardin sur la Lagune,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">21 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3346133600036-hermes-hermes-un-jardin-sur-la-lagune-_u_-edt-30-ml-1.jpg,520.0,Hermes,Unisex,Perfume,Feminine,Soft Floral,50 ml,2019,Eau de Toilette,,,,,"magnolia, pittosporum, Madonna lily, sea breeze, samphire, woody notes",,,,
Faz Sandary,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287006646959_faz_sandary_1.jpg,426.0,Faz,Unisex,Perfume,Romantic,Floral,50 ml,,Eau de Parfum,,,,,"Hyacinth, Violet, Amber, Tulip",,,,
Bottega Veneta Parco Palladiano IV Azalea EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3614225940613-bottega-veneta-bottega-veneta-parco-palladiano-iv-azalea-unisex-eau-de-parfum-100ml.png,1050.0,Bottega Veneta,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,2016,Eau de Parfum,Tangerine,"Orange Flowers, Peach Flowers, Rhododendron Ponticum Flowers","Vanilla, Chestnut",,,,,,
Fuhirah Leia EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/5/2553001_-_fuhirah_-_leia_-_50_ml_-_fd.png,300.0,Fuhirah,Unisex,Perfume,,,50 ml,,Eau de Parfum,Oriental,"Agarwood, Vetiver","Lavender, Saffron",,,,,,
Ormonde Jayne Osmanthus,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/5/0/5060238281492_ormonde_jayne_osmanthus_120ml__1.jpg,845.0,Ormonde Jayne,Unisex,Perfume,Romantic,Floral,50 ml,2006,Eau de Parfum,"Pomello, Davana (Sweet Egyptian Herb) and Pimento","Osmanthus Absolute, Water Lily and Sambac (Indian Jasmine)","Cedarwood, Labdanum Resin, Musk and Vetiver",,"Pomello, Davana (Sweet Egyptian Herb), Pimento, Osmanthus Absolute, Water Lily, Sambac (Indian Jasmine), Cedarwood, Labdanum Resin, Musk, Vetiver",Gold,,,
Link Niche V EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123126295-link-link-niche-5.png,498.0,Deraah,Unisex,Perfume,Charismatic,Oriental,150 ml,,Eau de Parfum,"Bergamot, Pink Pepper","Caramel, Rose, Lily Of The Valley","Patchouli, Vanilla, Musk",,,,,,
Parfums RP Prive No.13 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760279751535-parfums-rp-parfums-rp-prive-no.13-_u_-edp-100-ml.jpg,282.0,Parfums RP,Unisex,Perfume,Natural,"Woody,Woody",100 ml,,Eau de Parfum,"Hemp, Green Notes","Resins, Woods, Coffee, Tobacco","Incense, Oud",,,,,,
Zohoor Casual Exotic Bouquet EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700426231961-zohoor-zohoor-casual-edp-exotic-bouquet-100ml.png,149.0,Zohoor,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,,Eau de Parfum,Orange blossom,"Honey, Dry Amber",Vanilla,,,,,,
Hugo Boss Boss Ma Vie Pour Femme EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">64 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/8/78_hugo_boss_boss_ma_vie_pour_femme_edp_women.jpg,317.0,Hugo Boss,Women,Perfume,Romantic,Floral,50 ml,2014,Eau de Parfum,Cactus Blossom,Pink Floral Bouquet with Rose Bud,Cedarwood,Perfume,"Cactus Blossom, Pink Floral Bouquet with Rose Bud, Cedarwood",,,,
Givenchy Irresistible Givenchy,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">112 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/2/3274872400733_givenchy_irr_edp_80ml_1.jpg,440.0,Givenchy,Women,Perfume,Feminine,Floral,50 ml,2020,Eau de Parfum,"Pears, ambrette","rose, iris","cedar, musk.",,"pears, ambrette, rose, iris, cedar, musk.",,,,
Agent Provocateur Lace Noir,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/5/85715710277-agent-provocateur-agent-provocateur-lace-noir-_w_-edp-100-ml-1.jpg,313.0,Agent Provocateur,Women,Perfume,Romantic,Floral,100 ml,2018,Eau de Parfum,"Bergamot, Rosy, Woody, Pink Pepper","Tuberose, Coconut, Sweet, Jasmine","Vanilla, Praline, Tonka Bean, Patchouli",,"Bergamot, Rosy, Woody, Pink Pepper, Tuberose, Coconut, Sweet, Jasmine, Vanilla, Praline, Tonka Bean, Patchouli",,,,
Jo Malone Ginger Beer EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/9/690251134465_-_jo_malone_-_jo_malone_ginger_beer_unisex_cologne_30ml_-_30_ml_-_fd.png,398.0,Jo Malone,Unisex,Perfume,Natural,Woody,30 ml,2024,Eau de Cologne,"Citron, Ginger","Cinnamon, Amyris","White Musk, Vetiver, Oak",,,,,,
Etat Libre D'orange Jasmin et Cigarette EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760168590214-etat-libre-d_orange-etat-libre-d_orange-jasmin-et-cigarette-_w_-edp-100-ml.png,599.0,Etat Libre d'Orange,Women,Perfume,Natural,Woody,100 ml,2006,Eau de Parfum,,,,,"Amber, Tonka bean, Musk, Cumin, Cedar, Apricot, Straw, Tobacco, Jasmine",,,,
Proud Proud EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123000861-proud-broud.png,94.0,Deraah,Men,Perfume,Natural,Woody,100 ml,,Eau de Parfum,"Bergamot, Orange Blossom, Lemon","Jasmine, Rose, Cinnamon, Lavender, Geranium","Musk, Amber",,,,,,
Sean John Unforgivable Woman,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/5/855560005091-sean_john-sean-john-unforgivable-woman-_w_-parfum-125-ml-1.jpg,326.0,Sean John,Women,Perfume,Sophisticated,Woody Oriental,125 ml,2007,Eau de Parfum,"Bergamot, pina colada, bitter orange, orange blossom, cassia grapefruit, apple, pear","jasmine, violet, lily-of-the-valley Cyclamen, rose","amber, tonka bean, vanilla, cedar, sandal, and oak moss",,"Bergamot, pina colada, bitter orange, orange blossom, cassia grapefruit, apple, pear, jasmine, violet, lily-of-the-valley Cyclamen, rose, amber, tonka bean, vanilla, cedar, sandal, and oak moss",,,,
Nightology Vivid Velvet EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8431754007618-nightology-vivid-velvet-edp-100-ml.png,650.0,Nightology,Unisex,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Rare Fruits, Zaghloul Blood Orange","Amber, Jasmine","Moss, Sugar",,,,,,
Jean Antoine Celebrity EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287015120105-jean-antoine-jean-antoine-celebrity-homme-_m_-edp-100-ml.png,84.0,Jean Antoine,Men,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,Balsam,"Jasmine, Rose, Patchouli","Smoke, Woods, Vanilla",,,,,,
Link Relief EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281123076811-link-relief.png,114.0,Deraah,Men,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Apple, Blackberry","Pineapple, Lily Of The Valley","Amber, Patchouli",,,,,,
Sedr Alkhaleej Orion EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287001953366-sedr-al-khaleej-perfumes-orion-75-ml.png,60.0,Sedr Alkhaleej,Unisex,Perfume,Extravagant,Fruity,75 ml,,Eau de Parfum,"Orange, Bergamot, Lemon",Fruits,"Amber, Vanilla, White Musk, Cypriol",,,,,,
Julia Robenson Diamant EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/0/6085010043487-julia-robenson-daimant-by-julia-robenson-for-men-eau-de-parfum_-100ml-100ml-1.png,61.0,Julia Robenson,Men,Perfume,Natural,"Woody,Woody",100 ml,,Eau de Parfum,"African Orange Blossom, Pink Pepper","Woods, Balsams, Orchid Lilies","Sandalwood, Patchouli, Tonka Bean, Frankincense, Benzoin",,"African Orange Blossom, Pink Pepper, Woods, Balsamic, Orchid Lilies, Sandalwood, Patchouli, Tonka Bean, Frankincense, Benzoin",,,,
Xerjoff Pikovaya Dama EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488157449-xerjoff-xerjoff-xj-17-17-stone-label-pikovaya-dama-_u_-parfum-100-ml.png,2310.0,Xerjoff,Unisex,Perfume,Natural,Woody,100 ml,1890,Eau de Parfum,"Lemon, Rose, Bergamot, Neroli, Aldehydes","Coriander, Nutmeg, Cedar, Incense, Orris","Patchouli, Sandalwood, Vanilla, Musk",,,,,,
Chopard Wish Brilliant,"<h4 data-v-de649438="""">4.5</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/4/3414200516020-chopard-chopard-wish-brilliant-_w_-edp-75-ml.jpg,196.0,Chopard,Women,Perfume,Romantic,Floral,75 ml,1999,Eau de Parfum,"Fruity Notes, Pink Pepper","Violet Leaf, Star Jasmine","Woody Notes, Musk, Amber",,"Fruity Notes, Pink Pepper, Violet Leaf, Star Jasmine, Woody Notes, Musk, Amber",,,,
Nicolai Cap Neroli EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/5/3581000012257-nicolai-parfumeur-createur-nicolai-parfumeur-createur-cap-neroli-_u_-edt-100-ml.png,875.0,Nicolai,Unisex,Perfume,Dynamic,Citrus,100 ml,2018,Eau de Toilette,"Bergamot, Mandarin, Mint, Orange, Rosemary, Fine Grain","Hedione, Ylang-ylang, Jasmine, Orange Blossom, Neroli","Vanilla, Musk, Oak Moss",,,,,,
Histoires De Parfums Rosam,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/841317001812_histoires_de_parfums_rosam_edp_rare_edition_60ml_1.jpg,723.0,Histoires de Parfums,Unisex,Perfume,Glamorous,Floral Oriental,60 ml,2011,Eau de Parfum,"Rose petals, Citrus","Saffron flowers, Incense, Rose Absolute","Amber, Sandalwood, Patchouli, Oud",,"Rose petals, Citrus, Saffron flowers, Incense, Rose Absolute, Amber, Sandalwood, Patchouli, Oud",,,,
Bohoboco Wild Carrot Oud EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/5/9/5902659104168-bohoboco-wild-carrot-oud-50ml.png,699.0,Bohoboco,Unisex,Perfume,Natural,Woody,50 ml,2022,Eau de Parfum,"Bergamot, Carrot, Cinnamon","Cedar Wood, Dry Woods, Agarwood","Tobacco, Animal Notes, Leather, Amber, Earth",,,,,,
Nautica Classic,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3661163904016-nautica-nautica-classic-_m_-edt-100-ml.jpg,99.0,Nautica,Men,Perfume,Extravagant,Aromatic,100 ml,1992,Eau de Toilette,"Aldehydes, Lime, Coriander, Cypress, Cinnamon, Tarragon, Clary Sage, Neroli, Bergamot, Lemon","Cyclamen, Jasmine, Caraway, Rose, Geranium","Sandalwood, Amber, Patchouli, Musk, Oakmoss, Cedar",,"Aldehydes, Lime, Coriander, Cypress, Cinnamon, Tarragon, Clary Sage, Neroli, Bergamot, Lemon, Cyclamen, Jasmine, Caraway, Rose And GeraniumSandalwood, Amber, Patchouli, Musk, Oakmoss, Cedar",,,,
Salvatore Ferragamo Tuscan Creations Arte Orafa EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8052464890989-salvatore-ferragamo-creation-collection-arte-orafa.png,1249.0,Salvatore Ferragamo,Unisex,Perfume,Dynamic,Citrus,100 ml,2022,Eau de Parfum,"Bergamot, Lemon, Cardamom","Raspberry, Tunisian orange flower","Incense, Agarwood Wood",,,,,,
Rasasi Musk Hareer,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/1/614514402054_rasasi_rasasi_musk_hareer_edp_50ml_1.jpg,178.0,Rasasi,Unisex,Perfume,Romantic,Floral,50 ml,2018,Eau de Parfum,"Lemon, Raspberry","Turkish rose, Egyptian rose absolute, Damask rose",Indian Sandalwood Amber White Musks.,,"Lemon, Raspberry, Turkish Rose Egytian Rose Absolute Damask Rose, Indian Sandalwood, Amber, White Musks.",,,,
Les Destinations Montreux 46°26'N 6°55'E EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/4/0/4011700936014-les-destinations-les-destinations-montreux-46_26_n-6_55_e.png,410.0,Les Destinations,Women,Perfume,Romantic,Floral,50 ml,,Eau de Parfum,"Lily Of The Valley, Pear, Red Fruits","Magnolia, Peony, Rose","Musk, Amber, Cedar",,,,,,
Valentino Voce Viva Intensa EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614273459082-valentino-valentino-voce-viva-intensa-womens-eau-de-parfume-30ml_1_.png,637.0,Valentino,Women,Perfume,Sensual,Floral,100 ml,2021,Eau de Parfum Intense,"Bergamot, Orange","Jasmine Sambac, Orange Blossoms","Moss, Bourbon Vanilla",,,,,,
"The Different Company Adjatay, Cuir Narcotique Refill EDP","<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760033635910_-the_different_company_adjatay_cuir_narcotique_refill_edp.png,596.0,The Different Company,Unisex,Perfume,Sensual,Floral,100 ml,2006,Eau de Parfum,"Ylang Ylang, Mandarin","Tuberose, Jasmine, Heliotrope","Tonka Bean, Castoreum, Styrax, Musk, Sandalwood",,"Ylang-ylang, Mandarin, Tuberose, Jasmine, Heliotrope, Tonka Bean, Castoreum, Styrax, Musk, Sandalwood.",,,,
Geparlys Yes I Am The King Nuit D'orient Le Parfum Intense EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700134412164-geparlys-geparlys-yes-i-am-the-king-nuit-d_orient-le-parfum-intense-_m_-edp-100-ml.png,150.0,Geparlys,Men,Perfume,Extravagant,Green,100 ml,,Eau de Parfum,"Black Pepper, Basil, Bergamot","Dates, Geranium, Sage","Sandalwood, Incense, Amber",,,,,,
Sospiro Accento Violo EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">5 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3770009763790-sospiro-sospiro-accento-violo-edp-100ml.png,1369.0,Sospiro,Unisex,Perfume,Sensual,Floral,100 ml,2023,Eau de Parfum,"Hyacinth, Pineapple","Iris, Jasmine, Pink Pepper","Patchouli, Vanilla, Vetiver, Amber, Musk",,,,,,
Mancera Roses Jasmine,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">17 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_mancera_perfumes_roses_jasmine_for_unsex_eau_de_perfum_mrj01ab.jpg,448.0,Mancera,Unisex,Perfume,Romantic,Floral,120 ml,2012,Eau de Parfum,"Mandarin, Pear, Citrus from Calabria.","Jasmine, French Rose, Orange Blossom & Leaves of Patchouli.","Cedarwood, Oakmoss, White Musk.",,"Mandarin, Pear, Citrus from Calabria, Jasmine, French Rose, Orange Blossom & Leaves of Patchouli, Cedarwood, Oakmoss, White Musk",Gold,,,
Mandarina Duck So Bella ! So Chick !,"<h4 data-v-de649438="""">2.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_mandarina_duck_perfumes_so_bella_so_chick_for_women_eau_de_toilette.jpg,322.0,Mandarina Duck,Women,Perfume,Sophisticated,Fruity,100 ml,2016,Eau de Toilette,"Sicilian bergamot, Apple, Violet leaf","Freesia, Rose, Magnolia","Raspberry sorbet, Cashmere woods, White musk",,"Rose, Raspberry, Cashmere Wood, Bergamot, Freesia, Violet Leaf, Apple, Magnolia","Transparent,Pink",,,
Bvlgari Allegra Magnifying Sandalwood EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/2/1/21gs100857-bvlgari-bvlgari-allegra-magnifying-sandalwood-eau-de-parfum-40ml.png,1191.0,Bvlgari,Unisex,Perfume,Natural,Woody,40 ml,2023,Eau de Parfum,,,,,,,,,
Xerjoff Warda Al Oud Extrait de Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8033488152659-xerjoff-xer-warda-al-oud-10ml.png,1064.0,Xerjoff,Unisex,Perfume,Romantic,Floral,10 ml,2012,Extrait de Parfum,Bergamot,"Bulgarian Rose, Damask Rose, Jasmine, Osmanthus","Vanilla, Oud, Amber, Musk",,,,,,
Deer Perfumer Feel EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6285690002617-deer-ghazal-feel.png,480.0,Deer Perfumer,Unisex,Perfume,Natural,Woody,50 ml,,Eau de Parfum,,,,,"Green plants, Woods, Amber",,,,
Deraah Oud Al Taraheeb EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281123085240-deraah-oud-al-taraheeb_1_.png,145.0,Deraah,Men,Perfume,Charismatic,Oriental,90 ml,,Eau de Parfum,"Raspberry, Saffron, Lychee","Rose, Incense","Oud, Leather",,,,,,
Vilhelm Parfumerie Purple Fig EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760298541117-vilhelm-parfumerie-vilhelm-parfumerie-purple-fig-_u_-edp-100-ml.png,1190.0,Vilhelm Parfumerie,Unisex,Perfume,Natural,Fruity,100 ml,2016,Eau de Parfum,"Lemon, Cassia, Angelica","Cyclamen, Galbanum, Fig","Virginia cedar, Cypress",,"Alcoholdenat, Parfum (Fragrance), Aqua (Water), Limonene, Benzyl Alcohol, Benzyl Benzoate, Benzylsalicylate, Citral, Citronellol, Eugenol, Geraniol, Isoeugenol, Linalool.",,,,
Jimmy Choo Jimmy Choo Man Ice,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_jimmy_choo_perfumes_jimmy_choo_man_ice_for_men_eau_de_toilette.jpg,345.0,Jimmy Choo,Men,Perfume,Extravagant,Aromatic,100 ml,2017,Eau de Toilette,"Mandarin, bergamot, cedrat essence","Vetiver, patchouli, cedarwood","Musk, moss",,"Mandarin, bergamot, cedrat essence, Vetiver, patchouli, cedarwood, Musk, moss",White,,,
Lattafa Laitak Ma'e EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291106060829-lattafa-laitak-ma_e-by-lattafa-for-unisex---eau-de-parfum_-100ml-100ml-1.png,73.0,Lattafa,Unisex,Perfume,Romantic,Floral,100 ml,,Eau de Parfum,"Pepper, bergamot, amber seed oil","heliotrope, jasmine, hibiscus blossom","Cedar Wood, Guaiac Wood, Musk",,"Pepper, bergamot, amber seed oil, heliotrope, jasmine, hibiscus blossom, cedarwood, guaiac wood, musk",,,,
Roberto Cavalli Sumptuous Rose EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3614221031452-roberto-cavalli-roberto-cavalli-sumptuous-rose-_u_-edp-100-ml.png,1069.0,Roberto Cavalli,Unisex,Perfume,Sensual,Floral,100 ml,2016,Eau de Parfum,"Aldehydes, Honey, Rose","Styrax, Vetiver, Rose","White Musk, Sandalwood, Rose",,,,,,
Karen Low Pure Intense EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700134408280-karen-low-karen-low-pure-intense-edt---100-ml.png,49.0,Karen Low,Men,Perfume,Natural,Woody,100 ml,,Eau de Toilette,"Geranium, Lavender, Basil","Green notes, Sage, Tobacco","Cypress, Sandalwood, Frankincense, Musk, Amber",,,,,,
Diesel Plus Plus Feminine EDT,"<h4 data-v-de649438="""">4.5</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/4/0/4085400191509-diesel-diesel-plus-plus-feminine-_w_-edt-75-ml.png,119.0,Diesel,Women,Perfume,Romantic,Floral,75 ml,1997,Eau de Toilette,"Lily Of The Valley, Cassis, Fruits, Bitter Orange, Pineapple","Mongolia, Jasmine, Orchid, Red Apple, Strawberry, Cherry, Lily, Coconut, Milk","Virginian Cedar, Amber, Orris Root, Sandalwood, Nutmeg, Musk, Vanilla",,,,,,
Tesori D'Oriente Vaniglia e Zenzero del Madagascar EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8008970037479-tesori-d_oriente-vaniglia-100-ml.png,58.0,Tesori D'Oriente,Unisex,Perfume,Natural,Woody,100 ml,,Eau de Parfum,"Bergamot, Ginger","Orchids, Ylang-ylang, Rosewood","Moss, Cedar, Amber, Cashmere, Sandalwood, Vanilla",,,,,,
Caron Accord 119 Refillable Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3387951901035-caron-30-ml-accord-119-perfume-refillable-spray_1_.png,2050.0,Caron,Women,Perfume,Feminine,Fruity,100 ml,2011,Parfum,,,,,"Patchouli, Bloodstone, Egyptian Jasmine Absolute, Vanilla, Olibanum, Blackberry, Musk, Black Currant, Violet",,,,
Kholasaat Generous Black EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/4/3487510010090-kholasat-kholasat-generous-edp-black---100-ml.png,420.0,Kholasaat,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
