الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
القرشي للعود والعطور دهن عود الكمبودي  زيت عطري,287,القرشي للعود والعطور,رجالي/نسائي,زيت عطري,متألقة,عود,3 مل,دهن العود الكمبودي المعتق.,زيت عطري,,,,,,,,
القرشي للعود والعطور دهن عود السيوفي زيت عطري,420,القرشي للعود والعطور,رجالي/نسائي,زيت عطري,متألقة,عود,3 مل,دهن العود السيوفي المميز.,زيت عطري,,,,,,,,
عطور السمو باتشولي سمو برفيوم,225,عطور السمو,رجالي/نسائي,عطور,حسية,زهرية,100 مل,الباتشولي، الورد التركي، المسك.,برفيوم مركز,,,,,,,,
عطور السمو لازورد برفيوم,195,عطور السمو,رجالي,عطور,جذابة,شرقية,100 مل,الملح، البخور، الإيلنغ، زيت كابريول، الفانيليا، أخشاب الصندل.,برفيوم مركز,,,,,,,,
عطور السمو سفاير برفيوم,225,عطور السمو,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,أخشاب الكشمير، الفانيليا السوداء، الجلود، أخشاب الصندل، المسك.,برفيوم مركز,,,,,,,,
عطور السمو بلاتينيوم أو دو برفيوم,185,عطور السمو,رجالي,عطور,جذابة,شرقية,80 مل,البرجموت، أخشاب الأرز، حبوب التونكا، الفلفل الوردي، المريمية.,أو دو برفيوم,,,,,,,,
عطور السمو لامير أو دو برفيوم,195,عطور السمو,نسائي,عطور,حسية,زهرية,100 مل,,برفيوم مركز,الماندرين، مسك الروم، البرجموت,زهور البرتقال، الخوخ، الورد التركي,الفانيليا، الورد الدمشقي، المسك,,,,,
عطور السمو ماجيك أو دو برفيوم,195,عطور السمو,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,الورد التركي، عنبر اكستريم، حلوى البرالين، الفانيليا.,أو دو برفيوم,,,,,,,,
عطور السمو توباكو أو دو برفيوم,195,عطور السمو,رجالي/نسائي,عطور,جذابة,شرقية,80 مل,القرفة، الزعفران، التبغ.,أو دو برفيوم,,,,,,,,
عطور السمو سيجنتشر برفيوم,275,عطور السمو,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,الهيل، العنبر، الجلود.,برفيوم مركز,,,,,,,,
عطور السمو أوبرا برفيوم,275,عطور السمو,نسائي,عطور,حسية,زهرية,100 مل,البودرة، المسك، الزهور البيضاء.,برفيوم مركز,,,,,,,,
جيرلان إنكنس دو هايف موزع للرائحة - 200 مل,875,جيرلان,,موزع للرائحة,,خشبية,200 مل,اللبان، البخور، الشاي، الأخشاب المدخنة، أخشاب الأرز.,,,,,,,,,
جيرلان إنكنس دو هايف شمعة معطرة - 220 جم,875,جيرلان,,شمعة,,خشبية,,اللبان، البخور، الشاي، الأخشاب المدخنة، أخشاب الأرز.,,,,,,,,,
جيرلان يلانج دو أوتريمير موزع للرائحة - 200 مل,875,جيرلان,,موزع للرائحة,,زهرية,200 مل,الإيلنغ، أزهار بلوميريا، الرمال الدافئة.,,,,,,,,,
جيرلان ريف روز موزع للرائحة - 200 مل,875,جيرلان,,موزع للرائحة,,زهرية,200 مل,التوت البري، الورد، الأزهار، الباتشولي.,,,,,,,,,
جيرلان ريف روز شمعة معطرة - 220 جم,875,جيرلان,,شمعة,,زهرية,,التوت البري، الورد، الأزهار، الباتشولي.,,,,,,,,,
جيرلان موجيه دو برنتيب شمعة معطرة - 220 جم,875,جيرلان,,شمعة,,زهرية,,زنبق الوادي، الأوراق الخضراء، الورد، الياسمين.,,,,,,,,,
جيرلان مويز دي إند شمعة معطرة - 220 جم,875,جيرلان,,شمعة,,خشبية,,الأخشاب المدخنة، لحاء الأشجار الجافة، أخشاب الصندل، التوابل.,,,,,,,,,
جيرلان بالاس دو أورانج شمعة معطرة - 220 جم,875,جيرلان,,شمعة,,حمضية,,أشجار البرتقال، البرتقال، النيرولي، الأخشاب، الأرز، الفانيليا.,,,,,,,,,
جيه.ديل بوزو أرابيان نايتس,414,جيه. ديل بوزو,رجالي,عطور,راقية,شرقية خشبية,100 مل,الزعتر، الورد، نجيل الهند، خشب الصندل، الباتشول، خشب الغاياك، خشب ارز فرجينيا، الزعفران، المسك، الغار الفرنسي، العنبر، خشب العود,أو دو تواليت,الزعتر، الورد,نجيل الهند، خشب الصندل، الباتشول، خشب الغاياك، خشب ارز فرجينيا، الزعفران,المسك، الغار الفرنسي، العنبر، خشب العود,أسود,2014,,,
جيس أومو أكوا مجموعة هدايا - 4 قطع,322,جيس,رجالي,مجموعة عطور,محبة للطبيعة,خشبية,,,أو دو تواليت,الهيل، الخيار، الليمون,العرعر، المريمية، السرو,بالو سانتو، طحلب البلوط، أخشاب الصندل، رذاذ البحر,,2023,,,
جيس بيلا براديسو مجموعة هدايا - 4 قطع,322,جيس,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو برفيوم,الماندرين الإيطالي، الفواكه الحمراء، زهور الكمثرى,الياسمين، مسك الروم، الجاردينيا,الباتشولي، العنبر، المسك,,2023,,,
جيس بيلا فيتا روز مجموعة هدايا - 4 قطع,322,جيس,نسائي,مجموعة عطور,حسية,زهرية,,,أو دو برفيوم,الكشمش الأسود، الليمون الإيطالي، السفرجل,زنبق الوادي، السرو، الياسمين، الماجنوليا,بتلات السوسن، الطحالب، أخشاب الصندل، المسك,,2022,,,
جيس بيلا فيتا مجموعة هدايا - 4 قطع,322,جيس,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو برفيوم,الكشمش الأسود، الليمون الإيطالي، الكرز الحامضي,الياسمين، أوركيد الفانيليا، مسك الروم,المسك، أخشاب العنبر، حبوب التونكا، حلوى البرالين,,2020,,,
جيس بينك مجموعة هدايا - 4 قطع,299,جيس,نسائي,مجموعة عطور,حسية,زهرية,,,أو دو برفيوم,اليوسفي، البرجموت، الفراولة، التفاح الأخضر,الإيلنغ، الخوخ، الياسمين، التوت الأحمر، زنبق الوادي، الفريزيا، الفاونيا، الماجنوليا,طحلب البلوط، العنبر، أخشاب الأرز، المسك,,2006,,,
جيس سيداكتيف أوم ريد مجموعة هدايا - 4 قطع,299,جيس,رجالي,مجموعة عطور,جذابة,شرقية,,,أو دو تواليت,التين، قشر الليمون، القرفة,إبرة الراعي، زهور البرتقال، الكمكوات,أخشاب الصندل، العنبر، الفانيليا,,2021,,,
جيس سيداكتيف نوير مجموعة هدايا - 4 قطع,299,جيس,رجالي,مجموعة عطور,جذابة,شرقية,,,أو دو تواليت,الجريب فروت، الفلفل الأسود، جوزة الطيب,زهور البرتقال، اللافندر، التفاح,العنبر السائل، أخشاب الصندل، حبوب التونكا,,2019,,,
جيس سيداكتيف نوير مجموعة هدايا - 4 قطع,299,جيس,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو تواليت,الفاونيا، البرجموت، المريمية,زنبق الوادي، ياسمين سمباك، السوسن,المخمل، نجيل الهند، الفانيليا,,2019,,,
جيس سيداكتيف مجموعة هدايا - 4 قطع,299,جيس,نسائي,مجموعة عطور,حسية,زهرية,,,أو دو تواليت,الكشمش الأسود، البرجموت، الكمثرى,جذور السوسن، زهور البرتقال الإفريقي، الياسمين,اللبان، أخشاب الكشمير، الفانيليا,,2010,,,
كايالي إيدن جوسي آبل مجموعة هدايا - (أو دو برفيوم 50 مل + أو دو برفيوم 10 مل),465,كايالي,نسائي,مجموعة عطور,حسية,زهرية شرقية,,,أو دو برفيوم,عصير التفاح الأحمر، الكشمش الأسود، الجريب فروت، اللتشي,التوت البري، زهرة التوت، الياسمين، زهرة سانتا فوليا,الطحلب، العنبر، أزهار الفانيليا، المسك، السكر,,2021,,,
فرزاتشي برايت كريستال برفيوم,662,فرزاتشي,نسائي,عطور,حسية,زهرية,90مل,,برفيوم مركز,اليوزو، الرمان، الثلج,الفاونيا، اللوتس، الماجنوليا,المسك، أخشاب الماهوجني، العنبر,,2006,,,
فرزاتشي كريستال نوار برفيوم,662,فرزاتشي,نسائي,عطور,جذابة,زهرية شرقية,90مل,,برفيوم مركز,الفلفل، الزنجبيل، الهيل,جوز الهند، الجاردينيا، زهور البرتقال، الفاونيا,أخشاب الصندل، المسك، العنبر,,2004,,,
بربري جوديس أو دو برفيوم,745,بربري,نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الزنجبيل، الكاكاو، اللافندر، الفانيليا,الكافيار، الفانيليا,الفانيليا المطلقة,,2023,,,
شانيل الور هوم سبورت سوبرليجيرا أو دو برفيوم,728,شانيل,رجالي,عطور,ديناميكية,حمضية,100 مل,,أو دو برفيوم,الجريب فروت، الماندرين، الحمضيات,أخشاب الأرز، الأخشاب الثمينة,أخشاب الصندل، الباتشولي، العنبر، المسك الأبيض,,2024,,,
جفنشي لانترديت أبسولو أو دو برفيوم إنتنس,768,جفنشي,نسائي,عطور,جذابة,زهرية شرقية,80 مل,,أو دو برفيوم انتنس,اللافندر، النيرولي، الهيل الجواتيمالي,زهور البرتقال، ياسمين سمباك، مسك الروم الهندي,الباتشولي، نجيل الهند، الرم، التبغ,,2020,,,
كيليان سموكين هوت أو دو برفيوم,1205,كيليان,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الدخان، القرفة، التفاح الأخضر,الطحالب، الفانيليا، التبغ,المريمية، ايزو آي سوبر، عرق السوس، أوركاننوكس، بربون الفانيليا,,2023,,,
