الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
ديور بوازون,550,ديور,نسائي,عطور,متألقة,أروماتيك,50 مل,2011,أو دو تواليت,بذور الكزبرة، برقوق، فواكة الغابة، ينسون، خشب الورد البرازيلي,قرنفل، ياسمين، براعم البرتقال، مسك رومي، جاويش، بخور، ورد، عسل,نجيل الهند، ورد، عسل,,"برغموت إيطالي، جوهر زهر البرتقال، فلفل أسود، حبوب صغيرة,قرنفل، ياسمين، براعم البرتقال، مسك رومي، جاويش، بخور، ورد، عسل,نجيل الهند، ورد، عسل",بنفسجي,,,,,,
سيسلي سيسلي أو دو 2 أو دو تواليت,699,سيسلي,نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2009,أو دو تواليت,الهيل، البرجموت، الريحان,السوسن المائي، الياسمين المصري، زهور بخور مريم,الباتشولي، نجيل الهند، الأرز، أخشاب الصندل,,دينات الكحول، عطر، ماء، ثنائي الصوديوم إدتا، هيكسيل سينامال، ليمونين، لينالول، ألفا إيزوميثيل أيونون، بنزيل ساليسيلات، سيترال، سيترونيلول، يوجينول، جيرانيول، بنزيل بنزوات، كحول بنزيل,,,,,,,
إكس نيلو بوا دي هيفر أو دو برفيوم,805,إكس نيلو,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,2014,أو دو برفيوم,الفلفل الوردي، الهيل,بخور مريم، حجر الدم، أخشاب الأرز البيضاء,زيت سيبرول، أخشاب الصندل، المسك، الباتشولي,,,,,,,,,
شكسبير اميد سمر نايتس دريم أو دو برفيوم,462,شكسبير برفيوم,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2018,أو دو برفيوم,الأناناس، الكشمش الأسود، البرغموت، التفاح,الياسمين المغربي، الورد، أخشاب البتولا، الباتشولي,الآمبرغريس، المسك، طحلب البلوط، الفانيليا.,,,,,,,,,
سولينوتس يوزو,85,سولينوتس,رجالي/نسائي,عطور,حيوية,حمضية,50 مل,2018,أو دو برفيوم,الليمون، البرغموت,يوزو، يوسفي، الزهور البيضاء,بتشولي، طحلب البلوط,,الليمون، البرغموت، يوزو، يوسفي، زهور بيضاء، الباتشولي، طحلب البلوط,,,,,,,
إسينشال بارفيومز مون فيتفر أو دو برفيوم,585,Essential Parfums,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2018,أو دو برفيوم,,,,,جنتيانا، الباتشولي، كشميران، اللافندر، العرعر، الشرك، الليمون، نجيل الهند.,,,,,,,
فرزاتشي فيج بلانش أو دو برفيوم,1162,فرزاتشي,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2019,أو دو برفيوم,,,,,الورد، الياسمين، النيرولي، البرجموت، الماندرين، التين,,,,,,,
برادا أولفاكتوريز تاينتد لوف أو دو برفيوم,1357,برادا,رجالي/نسائي,عطور,راقية,شرقية خشبية,100 مل,2015,أو دو برفيوم,توت العليق,الورد والبنفسج البودرة,المسك,,توت العليق، الورد والبنفسج البودرة، المسك,,,,,,,
أجمل أمبر وود أو دو برفيوم,575,أجمل,رجالي,عطور,راقية,شرقية خشبية,100 مل,2014,أو دو برفيوم,هيل، تفاح، لافندر، فلفل أبيض,سيدار، أوريس,العنبر، الروائح الخشبية، الباتشولي.,,هيل، تفاح، لافندر، فلفل أبيض، أرز، سوسن، عنبر، روائح خشبية، باتشولي.,,,,,,,
بلانكو بلوم أو دو برفيوم,110,بلانكو,نسائي,عطور,حيوية,فاكهية,50 مل,,أو دو برفيوم,الفواكه، التين,الزنبق، زهور البرتقال,أخشاب الصندل، المسك، الفانيليا,,,,,,,,,
المها العربي لو ليذر أو دو برفيوم,200,المها العربي,رجالي/نسائي,عطور,كلاسيكية,جلدية,50 مل,,أو دو برفيوم,,,,,الخوخ، البرتقال، الأوركيد,,,,,,,
ميكاليف يالينج إن جولد أو دو برفيوم,1392,ميكاليف,نسائي,عطور,حسية,زهرية,100 مل,2012,أو دو برفيوم,إبرة الراعي، الحمضيات,أخشاب الصندل، الإيلنغ,جوز الهند، الفانيليا,,,,,,,,,
سايلنس جلوري برفيوم,350,سايلنس,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,برفيوم مركز,الكمثرى، زهور مايو,الياسمين، الورد التركي,المسك الأبيض، الفانيليا,,,,,,,,,
أولريك دي فارينز إيسا أو دو برفيوم,29,أولريك دي فارينز,نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,التوابل، جوزة الطيب، الأزهار,,,,,,,
أجمل بيورلي أورينت كشمير وود أو دو برفيوم,469,أجمل,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,75 مل,2019,أو دو برفيوم,الماندرين، اللافندر,السوسن، حبوب التونكا، الكاكاو,أخشاب الأرز، الباتشولي، العنبر، العود,,,,,,,,,
هالوين هالوين بلوسوم أو دو تواليت,279,هالوين,نسائي,عطور,حسية,زهرية,100 مل,2022,أو دو تواليت,الماندرين الأخضر، الفلفل الوردي، الفراولة البرية,الياسمين المصري، زهور التوت الأسود، زهور البرتقال,أخشاب الأرز، الفانيليا، المسك,,,,,,,,,
بريتني سبيرز هيدين فانتازي,165,بريتني سبيرز,نسائي,عطور,رومانسية,مائية منعشة,100 مل,2008,أو دو برفيوم,روائح حلوة البرتقال، اليوسفي، الجريب فروت، زهرة الفيربينا,الياسمين، روائح حلوى كيك نابوليتانو، زنبق مراقب النجوم، الياسمين، القرنفل,الجكراندة، رائحة الخشب، خشب الصندل، العنبر، حبوب الفانيلا الميكسيكية,,البرتقال، اليوسفي،أزهار الجريب فروت، رعي الحمام، الياسمين، زنبق مراقب النجوم، رائحة حلوى كيك نابوليتانو، حبوب الفانيلا، الجكراندة، رائحة الخشب، خشب الصندل والعنبر,أحمر,,,,,,
توم فورد سوليل بلانك - 30 مل,999,توم فورد,رجالي/نسائي,عطور,رومانسية,زهرية,30 مل,,أو دو برفيوم,الفستق، الفلفل الوردي، الهيل، البرغموت,الإيلنغ، مسك الروم، الياسمين,جوز الهند، البنزوين، حبوب التونكا، العنبر,,الفستق، الفلفل الوردي، الهيل، البرغموت، الإيلنغ، مسك الروم، الياسمين، جوز الهند، البنزوين، فول التونكا، العنبر,,,,,,,
كلايف كريستيان كوين آن روك روز أو دو برفيوم,2235,كلايف كريستيان,رجالي,عطور,جذابة,شرقية,50 مل,2016,أو دو برفيوم,برتقال التاركو,اللافندر، البنفسج، الأعشاب,الزعفران,,,,,,,,,
وست ورلد لوريندا إكستريت دو برفيوم,288,وست ورلد,رجالي/نسائي,عطور,حسية,زهرية,100 مل,2023,إكستريت دو برفيوم,زهور البرتقال، البرتقال المر,الفلفل الوردي، ياسمين سمباك، الإيلنغ,السوسن، الفانيليا، الراتنجات,,,,,,,,,
توس يور مومنتس,239,توس,نسائي,عطور,رومانسية,زهرية,90مل,2018,أو دو تواليت,الحبهان، اليوسفي، المشمش، توت العليق,الفاوانيا، زنبق الوادي، الياسمين,المسك، الباتشولي,,الحبهان، اليوسفي، المشمش، توت العليق، الفاوانيا، زنبق الوادي، الياسمين، المسك، الباتشولي,,,,,,,
ماء الذهب سابل روج أو دو برفيوم,150,ماء الذهب,رجالي/نسائي,عطور,محبة للطبيعة,شرقية خشبية,75 مل,,أو دو برفيوم,الهيل، اللافندر,أخشاب الأرز، أخشاب الصندل,العنبر، الفانيليا,,,,,,,,,
كولور مي جولد أو دو برفيوم,105,كولور مي,رجالي,عطور,ديناميكية,حمضية,90مل,,أو دو برفيوم,روبي اليوسفي، الجريب فروت، النعناع، الأعشاب العطرية,الورد، القرفة، التوابل,الجلود، الباتشولي، الأخشاب البيضاء، العنبر، التوابل,,,,,,,,,
رويال آزور للعطور إكس7 هوم أو دو برفيوم,150,رويال آزور للعطور,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,التفاح، الزنجبيل، البرجموت,المريمة، توت العليق، إبرة الراعي,العنبر، فول التونكا، الأرز، نجيل الهند، اللبان,,,,,,,,,
أوليبير ميدنايت سبيريت أو دو برفيوم,514,أوليبير,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,2015,أو دو برفيوم,الليمون، الجريب فروت,النبيذ الأحمر، الماروزا، الدافان,نجيل الهند، خشب نوتيس، فرجينيا سيدا، العنبر,,,,,,,"لم يختبر على الحيوانات,غير مضر للبيئة",,
شوبارد عود ملكي,379,شوبارد,رجالي/نسائي,عطور,متألقة,شرقية,80 مل,2012,أو دو برفيوم,الجريب فروت، اللافندر، أرتميسيا,الجلود، التوابل، التبغ,العنبر، الأخشاب الداكنة، العود,عطور العود,الجريب فروت، اللافندر، أرتميسيا، الجلود، التوابل، التبغ، العنبر، الأخشاب الداكنة، العود,,,,,,,
لورينزو فيلوريسي فيرنزي اتمان اكسامان أو دو برفيوم - 100 مل,775,لورينزو فيلوريسي فيرنزي,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2018,أو دو برفيوم,الزميل، الماندرين، الأزهار، الحمضيات، التوابل,الباتشولي، الزميل، اللابدانوم، زهرة الخلود، نجيل الهند، التبغ,المسك، حبوب التونكا، الفانيليا، الأخشاب الغريبة، العنبر، الجلود، التبغ,,,,,,,,,
جيبرليز يس آي ام ذا كينج ليون أو دو برفيوم - 100 مل,134,جيبرليز,رجالي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,,أو دو برفيوم,الأناناس، القرفة، البرجموت,خشب الأرز، النعناع، أرتميسيا، البرقوق,الكاكاو، الباتشولي، أخشاب العنبر,,,,,,,,,
جورجيو ارماني ارماني او بور أوم,787,جورجيو ارماني,رجالي,عطور,رجولية,أروماتيك,100 مل,2013,أو دو تواليت,اليوسفي ، الليمون ، الريحان,خزامى، قرنفل,خشب الصندل، طحلب السنديان,,زهر البرتقال، البرغموت، الفلفل الأسود ، الهيل، الزعفران، التبغ، العنبر ، خشب الكشمير.,"شفاف,أسود,فضي",,,,,,
في زيد 22 أو دو برفيوم,185,في,رجالي/نسائي,عطور,جذابة,شرقية,60 مل,,أو دو برفيوم,,,,,الهيل، الفانيليا، القهوة، الفلفل، المر، السوسن.,,,,,,,
أتيلير ماتيري إيريس إبيني أو دو برفيوم,990,أتيلير ماتيري,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الماندرين الأحمر، بذور الماندرين، التوابل,الفلفل الوردي، السوسن، جلود الغزال,بلسم بيرو، أخشاب الصندل، الجلود، المسك,,,,,,,,,
بولغاري أليجرا ماجنيفاينج روز اسينس أو دو برفيوم,627,بولغاري,نسائي,عطور,حسية,زهرية,40 مل,2021,أو دو برفيوم,,,,,الورد التركي، الورد البولغاري,,,,,,,
جاد كحامل المسك روز عنبر أو دو برفيوم,304,جاد,نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,الفواكه الحمراء,الزهور، الورد,الأخشاب، العنبر، البودرة، المسك، خشب الصندل,,,,,,,,,
